Pos,Game,Platform,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
181,Dr. Mario,NES,2012,Action,Ubisoft,2.17,1.76,0.14,0.76,4.83
182,Assassin's Creed III,PS3,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79
183,Crash Team Racing,PS,2006,Action,Take-Two Interactive,1.66,1.83,0.16,1.13,4.77
184,Grand Theft Auto: Vice City Stories,PSP,2000,Action,Atari,2.36,2.1,0.02,0.25,4.73
185,Driver 2,PS,2003,Racing,Vivendi Games,1.73,2.19,0,0.79,4.7
186,The Simpsons: Hit & Run,PS2,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68
187,Tony Hawk's Pro Skater 2,PS,2002,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67
188,The Lord of the Rings: The Two Towers,PS2,2012,Action,Electronic Arts,0.92,3.13,0.01,0.58,4.64
189,FIFA Soccer 13,X360,1996,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63
190,Tomb Raider,PS,1991,Action,Nintendo,2.42,0.91,1.15,0.13,4.61
191,The Legend of Zelda: A Link to the Past,SNES,2002,Action,Nintendo,2.6,0.99,0.89,0.13,4.6
192,The Legend of Zelda: The Wind Waker,GC,2011,Role-Playing,Bethesda Softworks,1.77,1.84,0.2,0.76,4.58
193,The Elder Scrolls V: Skyrim,PS3,2007,Action,Sony Computer Entertainment,2.14,1.59,0.12,0.72,4.57
194,Uncharted: Drake's Fortune,PS3,2010,Action,Sony Computer Entertainment,2.67,1.18,0.12,0.59,4.56
195,God of War III,PS3,2007,Adventure,Ubisoft,1.8,1.87,0.09,0.78,4.54
196,Assassin's Creed,PS3,2007,Misc,Activision,3,1.1,0,0.43,4.53
197,Guitar Hero III: Legends of Rock,Wii,2004,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53
198,Madden NFL 2005,PS2,2010,Action,Ubisoft,2.57,1.47,0.03,0.45,4.52
199,Assassin's Creed: Brotherhood,X360,1981,Platform,Activision,4.21,0.24,0,0.05,4.5
200,Pitfall!,2600,2006,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49
201,Madden NFL 07,PS2,2002,Action,Activision,2.71,1.51,0.03,0.23,4.48
202,Spider-Man: The Movie,PS2,2000,Role-Playing,Enix Corporation,0.2,0.14,4.1,0.02,4.47
203,Dragon Quest VII,PS,2007,Action,LucasArts,2.71,1.32,0,0.44,4.47
204,LEGO Star Wars: The Complete Saga,DS,2008,Simulation,Nintendo,1.77,1.01,1.32,0.35,4.45
205,Animal Crossing: City Folk,Wii,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45
206,God of War,PS2,2001,Sports,Activision,2.66,1.29,0.01,0.46,4.41
207,Tony Hawk's Pro Skater 3,PS2,2010,Action,Ubisoft,1.68,1.85,0.11,0.75,4.4
208,Assassin's Creed: Brotherhood,PS3,2006,Sports,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.39
209,Winning Eleven: Pro Evolution Soccer 2007,PS2,2007,Misc,Activision,3.09,0.88,0.01,0.41,4.39
210,Guitar Hero III: Legends of Rock,X360,1987,Adventure,Nintendo,2.19,0.5,1.61,0.08,4.38
211,Zelda II: The Adventure of Link,NES,2009,Sports,Sega,1.83,1.85,0.22,0.48,4.38
212,Mario & Sonic at the Olympic Winter Games,Wii,2005,Racing,Electronic Arts,2.03,1.79,0.08,0.47,4.37
213,Need for Speed: Most Wanted,PS2,1991,Platform,Sega,3.03,0.91,0.26,0.13,4.34
214,Sonic the Hedgehog,GEN,1980,Shooter,Atari,4,0.26,0,0.05,4.31
215,Asteroids,2600,2012,Action,Ubisoft,2.5,1.33,0.02,0.42,4.28
216,Assassin's Creed III,X360,2011,Action,Warner Bros. Interactive Entertainment,2.03,1.48,0.1,0.66,4.26
217,Batman: Arkham City,PS3,2010,Misc,Ubisoft,2.55,1.28,0.01,0.42,4.26
218,Michael Jackson: The Experience,Wii,2001,Misc,Namco Bandai Games,3,1.11,0.05,0.07,4.24
219,Namco Museum,GBA,2004,Action,Konami Digital Entertainment,1.46,1.53,0.83,0.41,4.23
220,Metal Gear Solid 3: Snake Eater,PS2,1995,Strategy,Activision,1.7,2.27,0,0.23,4.21
221,Warcraft II: Tides of Darkness,PC,2005,Sports,Electronic Arts,0.78,2.55,0.04,0.84,4.21
222,FIFA Soccer 06,PS2,2003,Misc,Sony Computer Entertainment,0.88,2.3,0.2,0.83,4.2
223,EyeToy Play,PS2,1989,Platform,Palcom,3.38,0.44,0.31,0.04,4.17
224,Teenage Mutant Ninja Turtles,NES,1984,Racing,Nintendo,2.04,0.48,1.57,0.07,4.16
225,Excitebike,NES,1997,Action,Hasbro Interactive,3.79,0.27,0,0.11,4.16
226,Frogger,PS,2006,Shooter,Sony Computer Entertainment,1.61,1.67,0.14,0.72,4.14
227,Resistance: Fall of Man,PS3,2002,Sports,Electronic Arts,3.36,0.21,0.01,0.56,4.14
228,Madden NFL 2003,PS2,2007,Racing,Sony Computer Entertainment,1.25,1.79,0.57,0.52,4.12
229,Gran Turismo 5 Prologue,PS3,1995,Platform,Nintendo,1.65,0.61,1.76,0.09,4.12
230,Super Mario World 2: Yoshi's Island,SNES,1997,Shooter,Vivendi Games,4.03,0,0.09,0,4.12
231,Half-Life,PC,2008,Role-Playing,Microsoft Game Studios,2.44,1.16,0.11,0.4,4.12
232,Fable II,X360,2006,Sports,Electronic Arts,0.71,2.48,0.03,0.89,4.11
233,FIFA 07 Soccer,PS2,1992,Fighting,Capcom,1.42,0.51,2.1,0.07,4.1
234,Street Fighter II Turbo,SNES,2011,Sports,Electronic Arts,0.79,2.75,0.02,0.51,4.08
235,FIFA Soccer 12,X360,2006,Platform,Sony Computer Entertainment,2.37,0.99,0,0.72,4.07
236,Daxter,PSP,2005,Role-Playing,Square Enix,2.2,0.58,1.12,0.17,4.07
237,Kingdom Hearts II,PS2,2007,Action,Capcom,2.32,1.3,0.04,0.41,4.07
238,God of War II,PS2,2005,Sports,Konami Digital Entertainment,0.12,2.26,0.9,0.77,4.06
239,World Soccer Winning Eleven 9,PS2,1996,Misc,Sony Computer Entertainment,2.28,1.55,0.16,0.06,4.05
240,Namco Museum Vol.3,PS,2000,Fighting,Namco Bandai Games,1.68,1.51,0.51,0.35,4.05
241,Tekken Tag Tournament,PS2,2008,Role-Playing,Bethesda Softworks,2.7,0.87,0.09,0.38,4.04
242,Fallout 3,X360,1997,Shooter,Nintendo,2.78,0.58,0.64,0.04,4.03
243,Star Fox 64,N64,1984,Sports,Nintendo,1.22,0.28,2.46,0.04,4.01
244,Golf,NES,2010,Strategy,Activision,2.24,1.27,0,0.5,4.01
245,StarCraft II: Wings of Liberty,PC,2007,Racing,Microsoft Game Studios,2.32,1.25,0.03,0.4,4
246,Forza Motorsport 2,X360,2007,Role-Playing,Activision,2.57,1.43,0,0,4
247,World of Warcraft: The Burning Crusade,PC,2008,Role-Playing,Activision,2.41,1.58,0,0,3.99
248,World of Warcraft: Wrath of the Lich King,PC,2005,Misc,Namco Bandai Games,2.08,1.35,0,0.54,3.98
249,Namco Museum: 50th Anniversary,PS2,2006,Role-Playing,Take-Two Interactive,2.51,0.97,0.13,0.37,3.98
250,The Elder Scrolls IV: Oblivion,X360,2007,Adventure,Nintendo,0.81,1.84,0.92,0.39,3.96
251,Professor Layton and the Diabolical Box,DS,2011,Racing,Microsoft Game Studios,1.77,1.7,0.06,0.42,3.95
252,Forza Motorsport 4,X360,2011,Action,Ubisoft,2.07,1.42,0.03,0.4,3.93
253,Assassin's Creed: Revelations,X360,2007,Misc,Take-Two Interactive,2.03,1.42,0.05,0.41,3.92
254,Carnival Games,Wii,1994,Platform,Nintendo,1.97,0.76,1.07,0.11,3.91
255,Donkey Kong Land,GB,2003,Sports,Activision,2.29,1.17,0.01,0.42,3.9
256,Tony Hawk's Underground,PS2,2005,Fighting,Namco Bandai Games,0.93,1.94,0.31,0.7,3.87
257,Tekken 5,PS2,1988,Role-Playing,Enix Corporation,0.1,0,3.77,0,3.87
258,Dragon Quest III,NES,2011,Action,Ubisoft,1.28,1.8,0.08,0.71,3.87
259,Assassin's Creed: Revelations,PS3,2004,Sports,Konami Digital Entertainment,0.16,1.89,1.12,0.68,3.85
260,World Soccer Winning Eleven 8 International,PS2,2009,Sports,Electronic Arts,2.06,1.33,0.06,0.4,3.85
261,EA Sports Active,Wii,1995,Misc,Sony Computer Entertainment,2.12,1.44,0.22,0.06,3.84
262,Namco Museum Vol.1,PS,1992,Action,Nintendo,2.21,0.96,0.54,0.13,3.83
263,The Legend of Zelda: Link's Awakening,GB,N/A,Strategy,Unknown,3.82,0.01,0,0,3.83
264,RollerCoaster Tycoon,PC,2007,Misc,Nintendo,0.85,1.54,1.05,0.35,3.79
265,Flash Focus: Vision Training in Minutes a Day,DS,1996,Action,Virgin Interactive,1.82,1.24,0.47,0.25,3.77
