Month,Year,Waist,d,Height ,Weight,BMI,Waist/Hip
June,1993,25,36,68,125,19.004109,0.694444444
July,1993,26,34,67,118,18.47939407,0.764705882
August,1993,22,32,64,100,17.16308594,0.6875
September,1993,24,34.5,68.5,120,17.9785817,0.695652174
October,1993,24,34,67,120,18.79260414,0.705882353
November,1993,21,34,67.5,110,16.97229081,0.617647059
December,1993,26,36,71,130,18.12933942,0.722222222
January,1994,24,35,69,124,18.30959882,0.685714286
February,1994,24,35,71,126,17.57151359,0.685714286
March,1994,23,36,68,118,17.93987889,0.638888889
April,1994,24,36,70,130,18.65102041,0.666666667
May,1994,23,34,64,105,18.02124023,0.676470588
June,1994,24,35,69,124,18.30959882,0.685714286
July,1994,24,36,71,130,18.12933942,0.666666667
August,1994,23,33,62,95,17.37382934,0.696969697
September,1994,24,35,66,105,16.94559229,0.685714286
October,1994,23,34,69,120,17.7189666,0.676470588
November,1994,25,35,71,135,18.8266217,0.714285714
December,1994,22,34,66,107,17.26836547,0.647058824
January,1995,24,34,66,110,17.75252525,0.705882353
February,1995,21,33.5,62,103,18.83688866,0.626865672
March,1995,24,36,70,130,18.65102041,0.666666667
April,1995,24,35,70,124,17.79020408,0.685714286
May,1995,23,34,64.5,112,18.92578571,0.676470588
June,1995,24,33,67,106,16.60013366,0.727272727
July,1995,23,33,67,106,16.60013366,0.696969697
August,1995,24,35,67,123,19.26241925,0.685714286
September,1995,22,34,65,110,18.30295858,0.647058824
October,1995,23,34,68,110,16.72361592,0.676470588
November,1995,24,34,65,112,18.63573964,0.705882353
December,1995,24,34,69,117,17.27599244,0.705882353
January,1996,24,34,68,123,18.70004325,0.705882353
February,1996,24,34,64,107,18.36450195,0.705882353
March,1996,25,34,68,118,17.93987889,0.735294118
April,1996,24,33,66,115,18.55945822,0.727272727
May,1996,22,33,64,98,16.81982422,0.666666667
June,1996,23.5,34,69,123,18.16194077,0.691176471
July,1996,22,34,64,110,18.87939453,0.647058824
August,1996,24,34,65,103,17.13822485,0.705882353
September,1996,24,34,68,120,18.24394464,0.705882353
October,1996,22,34,66,102,16.46143251,0.647058824
November,1996,25,35,67,118,18.47939407,0.714285714
December,1996,25,37,70,138,19.79877551,0.675675676
January,1997,22,35,68,118,17.93987889,0.628571429
February,1997,24,36,69.5,125,18.19264013,0.666666667
March,1997,24,34,65,114,18.96852071,0.705882353
April,1997,21.5,31.5,63,95,16.82665659,0.682539683
May,1997,25,35,67,120,18.79260414,0.714285714
June,1997,24,34,66,114,18.39807163,0.705882353
July,1997,24,36,67.5,120,18.51522634,0.666666667
August,1997,24,32,67,125,19.57562932,0.75
September,1997,23,35,68,118,17.93987889,0.657142857
October,1997,24,36,69.5,121,17.61047565,0.666666667
November,1997,24,36,68,123,18.70004325,0.666666667
December,1997,24,34,68,125,19.004109,0.705882353
January,1998,24,35,68,117,17.78784602,0.685714286
February,1998,25,36,69,125,18.45725688,0.694444444
March,1998,24,35,67,118,18.47939407,0.685714286
April,1998,23,34,67.5,125,19.2866941,0.676470588
May,1998,24,35,64.5,107,18.08088456,0.685714286
June,1998,24,34,68,125,19.004109,0.705882353
July,1998,24,34,68.5,120,17.9785817,0.705882353
August,1998,23,33.5,62.5,95,17.09696,0.686567164
September,1998,23,32,65,110,18.30295858,0.71875
October,1998,23,34,65,113,18.80213018,0.676470588
November,1998,25,35,67,115,18.00957897,0.714285714
December,1998,35,34,68,115,17.48378028,1.029411765
January,1999,23,34,65,110,18.30295858,0.676470588
February,1999,24,35,69,120,17.7189666,0.685714286
March,1999,23,34,67,107,16.75673869,0.676470588
April,1999,22.5,34.5,71,127,17.71097005,0.652173913
May,1999,21,34,67,120,18.79260414,0.617647059
June,1999,24,34,66,117,18.8822314,0.705882353
July,1999,24,34,68,120,18.24394464,0.705882353
August,1999,28,38,68,140,21.28460208,0.736842105
September,1999,24,33,68,116,17.63581315,0.727272727
October,1999,23,34.5,65,112,18.63573964,0.666666667
November,1999,24,35,65,113,18.80213018,0.685714286
December,1999,24,35,67.5,119,18.36093278,0.685714286
January,2000,23,34,67,111,17.38315883,0.676470588
February,2000,23,33,64,105,18.02124023,0.696969697
March,2000,24,32,65,105,17.47100592,0.75
April,2000,24,34,67,117,18.32278904,0.705882353
May,2000,24.5,34,68,115,17.48378028,0.720588235
June,2000,24,36,66,112,18.07529844,0.666666667
July,2000,23,35,69,118,17.42365049,0.657142857
August,2000,23,33,70.5,125,17.68019717,0.696969697
September,2000,26,33,68.5,115,17.22947413,0.787878788
October,2000,24,36,65,115,19.13491124,0.666666667
November,2000,24,34,65,107,17.80378698,0.705882353
December,2000,26,36,74,135,17.33108108,0.722222222
January,2001,24.5,36,69.5,120,17.46493453,0.680555556
February,2001,21,33,66,100,16.13865932,0.636363636
March,2001,25,35.5,64,112,19.22265625,0.704225352
April,2001,22,32,64,103,17.67797852,0.6875
May,2001,25,35,69,125,18.45725688,0.714285714
June,2001,22,32,66,110,17.75252525,0.6875
July,2001,24,34,66,106,17.10697888,0.705882353
August,2001,22,32,63,105,18.5978836,0.6875
September,2001,24,35,65,112,18.63573964,0.685714286
October,2001,25,34,63,110,19.4834971,0.735294118
November,2001,24,35,68,120,18.24394464,0.685714286
December,2001,24,34,68,117,17.78784602,0.705882353
January,2002,27,35,64,110,18.87939453,0.771428571
February,2002,23,35,70,125,17.93367347,0.657142857
March,2002,24,34,65,115,19.13491124,0.705882353
April,2002,22,30,64,98,16.81982422,0.733333333
May,2002,24,34,67,122,19.10581421,0.705882353
June,2002,23,33,63,103,18.2436382,0.696969697
July,2002,24,35,69,125,18.45725688,0.685714286
August,2002,24,33,65,108,17.97017751,0.727272727
September,2002,24,36,70,125,17.93367347,0.666666667
October,2002,26,33,66,117,18.8822314,0.787878788
November,2002,25,34,68,130,19.76427336,0.735294118
December,2002,25,35,67,125,19.57562932,0.714285714
January,2003,24,34,65,110,18.30295858,0.705882353
February,2003,24,34,68,120,18.24394464,0.705882353
March,2003,24,35,67,125,19.57562932,0.685714286
April,2003,24,27,68,118,17.93987889,0.888888889
May,2003,24,35,68,115,17.48378028,0.685714286
June,2003,24,34,64,110,18.87939453,0.705882353
July,2003,24,34,67,115,18.00957897,0.705882353
August,2003,25,36,67,125,19.57562932,0.694444444
September,2003,25,35,70,130,18.65102041,0.714285714
October,2003,24,34,68,115,17.48378028,0.705882353
November,2003,24,36,68,126,19.15614187,0.666666667
December,2003,25,36,68,123,18.70004325,0.694444444
January,2004,25,34,62,107,19.56841831,0.735294118
February,2004,24,35,67,120,18.79260414,0.685714286
March,2004,22,34,64,103,17.67797852,0.647058824
April,2004,25,35,69.5,127,18.48372237,0.714285714
May,2004,24,34,64,110,18.87939453,0.705882353
June,2004,22.5,34,64,108,18.53613281,0.661764706
July,2004,24,33,67,117,18.32278904,0.727272727
August,2004,25,34,65.5,110,18.02459064,0.735294118
September,2004,24,34,65,106,17.63739645,0.705882353
October,2004,23,33,65,102,16.97183432,0.696969697
November,2004,25,34,66,118,19.043618,0.735294118
December,2004,23,35,66,115,18.55945822,0.657142857
January,2005,24,24,65,110,18.30295858,1
February,2005,28,36,66,127,20.49609734,0.777777778
March,2005,24,36,65,117,19.46769231,0.666666667
April,2005,24,34,63,105,18.5978836,0.705882353
May,2005,23,34,67,112,17.53976387,0.676470588
June,2005,24,34,66,110,17.75252525,0.705882353
July,2005,25,36,69,130,19.19554715,0.694444444
August,2005,24,34,68,115,17.48378028,0.705882353
September,2005,25,36,66,120,19.36639118,0.694444444
October,2005,24,33,68,117,17.78784602,0.727272727
November,2005,23,35,64,110,18.87939453,0.657142857
December,2005,24,34,65,115,19.13491124,0.705882353
January,2006,25,36,66,119,19.20500459,0.694444444
February,2006,24,34,65,110,18.30295858,0.705882353
March,2006,24,36,66,114,18.39807163,0.666666667
April,2006,25,34,68,115,17.48378028,0.735294118
May,2006,24,34,66,117,18.8822314,0.705882353
June,2006,23,34,64,105,18.02124023,0.676470588
July,2006,24,31,63,103,18.2436382,0.774193548
August,2006,23,33,65,107,17.80378698,0.696969697
September,2006,26,36,66,110,17.75252525,0.722222222
October,2006,24,34,69,130,19.19554715,0.705882353
November,2006,23,32,65,110,18.30295858,0.71875
December,2006,24,34,69,118,17.42365049,0.705882353
January,2007,24,35,69,117,17.27599244,0.685714286
February,2007,24,34,63,115,20.36911061,0.705882353
March,2007,24,34,68,115,17.48378028,0.705882353
April,2007,25,35,66,114,18.39807163,0.714285714
May,2007,23,34,68,115,17.48378028,0.676470588
June,2007,24,35,67,112,17.53976387,0.685714286
