"link","frequency"
"http://t.co/AlK9VEwimg",1
"http://t.co/AlTm4AMbRL",50
"http://t.co/ALUOr6MQTp",2
"http://t.co/AMX6iCc9jc",1
"http://t.co/aNgR7uyxoY",1
"http://t.co/anMaZjb7fq”",1
"http://t.co/ann0zgALS7",2
"http://t.co/ANRK4bj33v",1
"http://t.co/aOAs1W719X",1
"http://t.co/aon9l3kUwf",1
"http://t.co/aoppc0712V",1
"http://t.co/aoqBHYdHK0",1
"http://t.co/AouVAclnvT",26
"http://t.co/Aowb1iMFb1",1
"http://t.co/APD6RBzyIt",1
"http://t.co/aPiRBbZYI5",1
"http://t.co/apJPezqhHL",1
"http://t.co/aPLz3U196J""",1
"http://t.co/APnCR3U9np”",1
"http://t.co/apNEXgNX0X",1
"http://t.co/AqFz9ZD8Dz",1
"http://t.co/AqkUd7ZVmg",1
"http://t.co/aqTVz1ZQxm”",1
"http://t.co/ARaVHxxWgw",1
"http://t.co/ARcGX6RGWF”",1
"http://t.co/aRTcqGv46y”",1
"http://t.co/ArvqPrakTQ",1
"http://t.co/ARYnPQMnL9",4
"http://t.co/aSMeiqmuGh",1
"http://t.co/aSy0c7F95M”",6
"http://t.co/ATQiBNHUka",1
"http://t.co/aU0uzUQE1z”",1
"http://t.co/AU1Wzbi8Pp",15
"http://t.co/AuAXscT6fY",2
"http://t.co/AUC33yo6lc",1
"http://t.co/aUzLxTLNSX",1
"http://t.co/AvE4SGlnMw",1
"http://t.co/aVfGjEGw3y""""”",1
"http://t.co/aVG5NXEZMo""",1
"http://t.co/aVh3ZZCnb3",1
"http://t.co/AwCfxWGrbm",1
"http://t.co/aWnnHhJHUV”",1
"http://t.co/AWteHkF8yB",1
"http://t.co/aWv25BdkFB",1
"http://t.co/Axf8WBnehL",1
"http://t.co/ayeriVgbj2",1
"http://t.co/azHnxOhRHj",1
"http://t.co/azjcTy4KQG""",1
"http://t.co/AzT2XLZP1I”.",1
"http://t.co/azzCsqH4EG”",1
"http://t.co/B1mD9lLz28""",2
"http://t.co/B1Ptt1oOsU",1
"http://t.co/b2iw4fOWLr",1
"http://t.co/b2JEPwW9Ap",1
"http://t.co/B2mO6SzbA6",2
"http://t.co/b2tfMO9NbZ",1
"http://t.co/B3Hfbr7OI0",1
"http://t.co/B4bJacDnNJ",1
"http://t.co/b4dvOHEJcx”",1
"http://t.co/b4lwu46KtJ",1
"http://t.co/B6t7AZKpdf",1
"http://t.co/b6yXMKnHeH",1
"http://t.co/b7k45XiUPT",1
"http://t.co/b7vh9We…",33
"http://t.co/b7vh9We1Tj",1
"http://t.co/b7YhfBb1wb”",1
"http://t.co/b9ejXTNhwb",6
"http://t.co/BAtakznDvs",1
"http://t.co/BAzqVKOy5B",1
"http://t.co/bBgwMUJqyi",1
"http://t.co/BBhRrTb6J8",2
"http://t.co/BBJTy6iJho",3
"http://t.co/bBq7UrP1pX”",1
"http://t.co/bBz6PMfdBH",1
"http://t.co/bcdhkStsdw",2
"http://t.co/bcL5TS3XD4",1
"http://t.co/bCO0IqlrH6”",2
"http://t.co/BCrgvf4ciA”",1
"http://t.co/BcUEDiWPsv”",1
"http://t.co/BcvvKb6Nc3",1
"http://t.co/Bd3fmJ26dv",1
"http://t.co/bd3IjtBG02""",1
"http://t.co/bD9GORVTJk",1
"http://t.co/BDT4ghHcLo",1
"http://t.co/bdwNy3vZHb",4
"http://t.co/BDWRtpH1Hi",1
"http://t.co/BEWWZ15xud",1
"http://t.co/BfRomx5rZw",1
"http://t.co/BFtLW2D9aW”",1
