"txt","person","inDegree","outDegree","betweenness","totalDegree","timeperiod","timeperiodNum"
NA,"Fjan","2","1","0","3","all-fixed.csv","7"
NA,"Fluxx","0","1","0","1","all-fixed.csv","7"
NA,"fxn","7","8","266.125625864661","15","all-fixed.csv","7"
NA,"gampleman","9","3","270","12","all-fixed.csv","7"
NA,"gregolsen","1","2","7.59782608695652","3","all-fixed.csv","7"
NA,"guilleiguaran","35","30","745.083025509862","65","all-fixed.csv","7"
NA,"Hakon","0","1","0","1","all-fixed.csv","7"
NA,"homakov","2","1","1.71513712840549","3","all-fixed.csv","7"
NA,"ifesdjeen","0","1","0","1","all-fixed.csv","7"
NA,"isaacsanders","4","9","68.6244108681555","13","all-fixed.csv","7"
NA,"isabanin","1","1","0","2","all-fixed.csv","7"
NA,"jcla1","0","1","0","1","all-fixed.csv","7"
NA,"jcoleman","8","7","813.026000786055","15","all-fixed.csv","7"
NA,"jeremy","31","17","599.267844186825","48","all-fixed.csv","7"
NA,"jeremyf","1","2","0","3","all-fixed.csv","7"
NA,"jeyb","0","1","0","1","all-fixed.csv","7"
NA,"joe1chen","1","2","80","3","all-fixed.csv","7"
NA,"JohanB","0","1","0","1","all-fixed.csv","7"
NA,"jonleighton","3","4","86.1398713623026","7","all-fixed.csv","7"
NA,"josevalim","52","70","1810.30039403267","122","all-fixed.csv","7"
NA,"josh","4","2","0","6","all-fixed.csv","7"
NA,"ka8725","0","1","0","1","all-fixed.csv","7"
NA,"keithpitt","2","0","0","2","all-fixed.csv","7"
NA,"kenmazaika","2","0","0","2","all-fixed.csv","7"
NA,"kennyj","10","15","354.528276126423","25","all-fixed.csv","7"
NA,"KensoDev","0","1","0","1","all-fixed.csv","7"
NA,"kierangraham","0","2","0","2","all-fixed.csv","7"
NA,"krsmurata","1","1","0","2","all-fixed.csv","7"
NA,"lest","1","1","0","2","all-fixed.csv","7"
NA,"Lte","0","1","0","1","all-fixed.csv","7"
NA,"luke-gru","0","1","0","1","all-fixed.csv","7"
NA,"metaskills","0","3","0","3","all-fixed.csv","7"
NA,"myabc","0","1","0","1","all-fixed.csv","7"
NA,"nashby","2","2","161","4","all-fixed.csv","7"
NA,"nertzy","0","1","0","1","all-fixed.csv","7"
NA,"nlsrchtr","0","1","0","1","all-fixed.csv","7"
NA,"nmertaugh","1","5","0","6","all-fixed.csv","7"
NA,"NZKoz","4","3","0","7","all-fixed.csv","7"
NA,"obie","0","1","0","1","all-fixed.csv","7"
NA,"panthomakos","2","2","65.9332922824302","4","all-fixed.csv","7"
NA,"parndt","31","19","1411.91544445596","50","all-fixed.csv","7"
NA,"patrick99e99","9","8","339.509771816883","17","all-fixed.csv","7"
NA,"pixeltrix","2","1","65","3","all-fixed.csv","7"
NA,"rafaelfranca","10","18","855.911505364324","28","all-fixed.csv","7"
NA,"robyurkowski","0","1","0","1","all-fixed.csv","7"
NA,"rywall","0","2","0","2","all-fixed.csv","7"
NA,"samsoffes","0","2","0","2","all-fixed.csv","7"
NA,"sausman","10","6","164.522020958394","16","all-fixed.csv","7"
